,before,after
1254,murorum,murorum
1255,ambitum,ambitum
1256,meo,meo
1257,iudicio,iuditio
1258,maior,maior
1259,"rotundam,",rotundam
1260,corde,corde
1261,"maris,",maris
1262,durissima,durissima
1263,undique,undique
1264,"circumdata,",circumdata
1265,fronte,fronte
1266,"orientem,",orientem
1267,Nabugodonosor,nabugodonosor
1268,postea,postea
1269,fecerunt,fecerunt
1270,contiguam,contiguam
1271,iactus,iactus
1272,"lapidis,",lapidis
1273,circumcincta,circumcincta
1274,quadruplici,quadruplici
1275,muro,muro
1276,forti,forti
1277,alto,alto
1278,25,
1279,spisso.,spisso
1280,muri,muri
1281,muniti,muniti
1282,vidisse,uidisse
1283,recolo,recolo
1284,meliores.,meliores
1285,Hiis,hiis
1286,continuatur,continuatur
1287,arx,arx
1288,munitissimum,munitissimum
1289,situm,situm
1290,munitum,munitum
1291,5,
1292,palaciis,palaciis
1293,expugnare,expugnare
1294,deberet,deberet
1295,merito,merito
1296,totus,totus
1297,mundus.,mundus
1298,Multe,multe
1299,reliquie,reliquie
1300,hystoria,historia
1301,ecclesiastica,ecclesiastica
1302,martiribus,martiribus
1303,Dyocletiano,diocletiano
1304,"passis,",passis
1305,quorum,quorum
1306,numerus,numerus
1307,soli,soli
1308,notus.,notus
1309,Origenes,origenes
1310,ibidem,ibidem
1311,Ecclesia,ecclesia
1312,Sancti,sancti
1313,Sepulchri,sepulcri
1314,"requiescit,",requiescit
1315,"conclusus,",conclusus
1316,tytulum,titulum
1317,columpne,columpne
1318,mar(5r)moree,marmoree
1319,aliorum,aliorum
1320,lapidum,lapidum
1321,stupor,stupor
1322,videre.,uidere
1323,Sedes,sedes
1324,archiepiscopalis,arciepiscopalis
1325,Phenicie,penicie
1326,suffraganeos,sufraganeos
1327,"Beritensem,",beritensem
1328,Sydoniensem,sidoniensem
1329,Acconensem,acconensem
1330,"episcopos,",episcopos
1331,Peregrinorum.,peregrinorum
1332,Decem,decem
1333,diebus,diebus
1334,fui,fui
1335,pluribus,pluribus
1336,vicibus,uicibus
1337,diligenter.,diligenter
1338,Ante,ante
1339,portam,portam
1340,orientalem,orientalem
1341,iactum,iactum
1342,sagittarum,sagitarum
1343,harenas,harenas
1344,ostenditur,ostenditur
1345,predicationis,predicationis
1346,"Christi,",cristi
1347,extulit,extulit
1348,vocem,uocem
1349,mulier,mulier
1350,"turba,",turba
1351,dicens,dicens
1352,“Beatus,beatus
1353,venter,uenter
1354,te,te
1355,portavit,portauit
1356,ubera,ubera
1357,"succisti,”",succisti
1358,lapis,lapis
1359,"magnus,",magnus
1360,quo,quo
1361,tunc,tunc
1362,stabat,stabat
1363,Christus.,cristus
1364,harena,harena
1365,"operitur,",operitur
1366,illa,ila
1367,levis,leuis
1368,sit,sit
1369,volatilis,uolatilis
1370,occidentis,occidentis
1371,vix,uix
1372,volare,uolare
1373,consuevit,consueuit
1374,tempore,tempore
1375,hyemis,hiemis
1376,tumulos,tumulos
1377,facere,facere
1378,sepes,sepes
1379,similia,similia
1380,impulsu,impulsu
1381,venti.,uenti
1382,Iste,iste
1383,medio,medio
1384,arenarum,arenarum
1385,semper,semper
1386,viridis,uiridis
1387,permanet,permanet
1388,estate,estate
1389,"hyeme,",hieme
1390,rarum,rarum
1391,maxime,maxime
1392,"estate,",estate
1393,sol,sol
1394,gramina,gramina
1395,comburit,comburit
1396,exsiccat.,exsiccat
1397,modicus,modicus
1398,reliquo,reliquo
1399,campo,campo
1400,herbosus,herbosus
1401,"stetisse,",stetisse
1402,turba.,turba
1403,Anno,anno
1404,Domini,domini
1405,1283,
1406,edificavit,edificauit
1407,capellam,capelam
1408,eodem,eodem
1409,posuit,posuit
1410,illum,ilum
1411,retro,retro
1412,altare,altare
1413,columpnam,columpnam
1414,quandam,quandam
1415,marmoream,marmoream
1416,multum,multum
1417,"honeste,",honeste
1418,dedicata,dedicata
1419,capella,capela
1420,dominica,dominica
1421,Oculi,oculi
1422,"semper,",semper
1423,ramos,ramos
1424,palmarum,palmarum
1425,dixi,dixi
1426,missam,missam
1427,presente,presente
1428,regina,regina
1429,Iherusalem,ierusalem
1430,domino,domino
1431,archiepiscopo,arciepiscopo
1432,multis,multis
1433,aliis.,aliis
1434,Tyro,tiro
1435,modicas,modicas
1436,Eleutherus,eleuterus
1437,intrat,intrat
1438,Ionathas,ionatas
1439,prosecutus,prosecutus
1440,Demetrium,demetrium
1441,I,i
1442,Mach..,mac
1443,venit,uenit
1444,Gentium,gencium
1445,confinio,confinio
1446,"Roob,",roob
1447,"Kubul,",kubul
1448,Beloford,beloford
1449,militie,militie
1450,templi,templi
1451,Horma,horma
1452,Iosue,iosue
1453,persecutus,persecutus
1454,24,
1455,reges,reges
1456,Josue.,iosue
1457,Sareptha,sarepta
1458,sydoniorum,sidoniorum
1459,(5v),
1460,australem,australem
1461,mulierem,mulierem
1462,"Sareptam,",sareptam
1463,mansit,mansit
1464,filium,filium
1465,suscitavit.,suscitauit
1466,cenaculum,cenaculum
1467,quievit.,quieuit
1468,Sarepta,sarepta
1469,8,
1470,domos,domos
1471,ostendant,ostendant
1472,fuisse,fuisse
1473,gloriosam.Inde,gloriosaminde
1474,Sydon,sidon
1475,urbs,urbs
1476,Fenicis,fenicis
1477,magnitudini,magnitudini
1478,"attestantur,",atestantur
1479,scripte,scripte
1480,crederentur.,crederentur
1481,Fuit,fuit
1482,disposita,disposita
1483,tendens,tendens
1484,Antylibano,antilibano
1485,ipsum,ipsum
1486,spaciosa,spatiosa
1487,valde.,ualde
1488,ruinis,ruinis
1489,alia,alia
1490,edificata,edificata
1491,parva,parua
1492,quidem,quidem
1493,"munita,",munita
1494,haberet,haberet
1495,"defensores,",defensores
1496,una,una
1497,hinc,hinc
1498,duo,duo
1499,castra,castra
1500,munita.,munita
1501,Unum,unum
1502,quadam,quadam
1503,"situm,",situm
1504,edificaverunt,edificauerunt
1505,peregrini,peregrini
1506,Teuthonia,teutonia
1507,"venerant,",uenerant
1508,aliud,aliud
1509,australi,australi
1510,colle,cole
1511,firmum.,firmum
1512,milites,milites
1513,tenent.,tenent
1514,adiacens,adiacens
1515,habundans,habundans
1516,bonis,bonis
1517,aere,ere
1518,"saluberrimo,",saluberrimo
1519,canne,canne
1520,mellis,melis
1521,vinee,uinee
1522,bone.,bone
1523,"antique,",antique
1524,"deserta,",deserta
1525,dominum,dominum
1526,rogans,rogans
1527,filia,filia
1528,demoniata,demoniata
1529,Chananea,cananea
1530,via,uia
1531,Ythuream,ituream
1532,Cesaream,cesaream
1533,Philippi,pilippi
1534,ducit.,ducit
1535,Antylibanus,antilibanus
1536,distat,distat
1537,Sydone,sidone
1538,orientem.,orientem
1539,Incipit,incipit
1540,fluvium,fluuium
1541,"Eleutherum,",eleuterum
1542,"ante,",ante
1543,Tripolim,tripolim
1544,dietas,dietas
1545,nusquam,nusquam
1546,recedit,recedit
1547,leucas.,leucas
1548,Interdum,interdum
1549,accedit,accedit
1550,inmeabilis,inmeabilis
1551,omnino.,omnino
1552,optimis,optimis
1553,“memoriale,memoriale
1554,vinum,uinum
1555,"Lybani,”",libani
1556,bonitas,bonitas
1557,vini,uini
1558,Margatum.Ultra,margatumultra
1559,Sydonem,sidonem
1560,9,
1561,nobilis,nobilis
1562,antiqua,antiqua
1563,Berichus,bericus
1564,"predicasse,",predicasse
1565,Iudei,iudei
1566,ymagine,imagine
1567,(6r),
1568,pasta,pasta
1569,ei,ei
1570,illuserunt,iluserunt
1571,crucifigentes,crucifigentes
1572,"extraxerunt,",extraxerunt
1573,venerationi,uenerationi
1574,Episcopus,episcopus
1575,Sydonensis,sidonensis
1576,suffraganeus,sufraganeus
1577,Tyronensis.,tironensis
1578,Tyronensis,tironensis
1579,Passus,passus
1580,Canis,canis
1581,ingreditur.,ingreditur
1582,Terminatur,terminatur
1583,patriarchatus,patriarcatus
1584,Iherosolimitanus,ierosolimitanus
1585,Antyochenus,antiocenus
1586,comitatus,comitatus
1587,Tripolitanus.,tripolitanus
1588,Sarracenorum,sarracenorum
1589,voluntate.,uoluntate
1590,Pauci,pauci
1591,viri,uiri
1592,prohiberent,prohiberent
1593,transitum,transitum
1594,toti,toti
1595,mundo.De,mundode
1596,Bericho,berico
1597,Biblium,biblium
1598,patriarchatu,patriarcatu
1599,"Antyocheno,",antioceno
1600,episcopum.,episcopum
1601,Eze.,ese
1602,27,
1603,commendatione,comendatione
1604,Tyri:,tiri
1605,“Senes,senes
1606,Biblii,biblii
1607,prudentes,prudentes
1608,habuerunt,habuerunt
1609,nautas,nautas
1610,ministerium,ministerium
1611,varie,uarie
1612,suppellectilis,suppelectilis
1613,tue.”,tue
1614,Dominus,dominus
1615,vasallus,uasalus
1616,comitis,comitis
1617,Tripolitani.,tripolitani
1618,Nunc,nunc
1619,Gybloch,gibloc
1620,parva.De,paruade
1621,Biblio,biblio
1622,"Botrum,",botrum
1623,opulenta,opulenta
1624,vino,uino
1625,nobilissimo,nobilissimo
1626,magistrum,magistrum
1627,funditus,funditus
1628,destructa.,destructa
1629,Nephyn,nepin
1630,"totum,",totum
1631,principis,principis
1632,Antyocheni.,antioceni
1633,vidi,uidi
1634,20,
1635,turres,turres
1636,bonas,bonas
1637,locum,locum
1638,Vinum,uinum
1639,ville,uile
1640,nominatum,nominatum
1641,vina,uina
1642,partium,parcium
1643,illarum.,ilarum
1644,populosa,populosa
1645,multum.,multum
1646,Habitant,habitant
1647,"Latini,",latini
1648,"Iudei,",iudei
1649,"Armeni,",armeni
1650,"Maranite,",maranite
1651,Nestoriani,nestoriani
1652,multe,multe
1653,alie.,alie
1654,serico,serico
1655,opera,opera
1656,fiunt,fiunt
1657,ea.,ea
1658,Audivi,audiui
1659,certo,certo
1660,essent,essent
1661,textores,textores
1662,serici,serici
1663,cameloti,cameloti
1664,similium,similium
1665,4000.,
1666,dici,dici
1667,paradysus,paradisus
1668,propter,propter
1669,amenitates,amenitates
1670,infinitas,infinitas
1671,calamellis,calamelis
1672,vidisse.,uidisse
1673,longitudine,longitudine
1674,"1,",
1675,latitudine,latitudine
1676,dimidiam.,dimidiam
1677,(6v),
1678,spatio,spatio
1679,iardini,iardini
1680,"150,",
1681,dicuntur,dicuntur
1682,annis,annis
1683,valere,ualere
1684,dominis,dominis
1685,trecenta,trecenta
1686,milia,milia
1687,bissantiorum,bissantiorum
1688,aureorum.Libanus,aureorumlibanus
1689,oritur,oritur
1690,Fons,fons
1691,"Ortorum,",ortorum
1692,fluens,fluens
1693,"Lybano,",libano
1694,canticis.,canticis
1695,humiliter,humiliter
1696,nasci,nasci
1697,subito,subito
1698,invalescens,inualescens
1699,fluxum,fluxum
1700,facit,facit
1701,vehementem,uehementem
1702,magnum,magnum
1703,rigat,rigat
1704,ortos,ortos
1705,Lybanum,libanum
1706,commendat,comendat
1707,mirabiliter,mirabiliter
1708,regionem.,regionem
1709,Aque,aque
1710,optime,optime
1711,"sunt,",sunt
1712,frigide,frigide
1713,dulces,dulces
1714,religiosa,religiosa
1715,multe.,multe
1716,Venit,uenit
1717,radice,radice
1718,circuit,circuit
1719,montem,montem
1720,Leopardorum,leopardorum
1721,"deducitur,",deducitur
1722,rigans,rigans
1723,ipsos.,ipsos
1724,bene,bene
1725,magnis,magnis
1726,preter,preter
1727,alios,alios
1728,"fluunt,",fluunt
1729,verum,uerum
1730,"Hester,",hester
1731,fons,fons
1732,parvus,paruus
1733,crevit,creuit
1734,aquas,aquas
1735,plurimas,plurimas
1736,redundavit.De,redundauitde
1737,Tripoli,tripoli
1738,"Leopardorum,",leopardorum
1739,rotundus,rotundus
1740,aspectu,aspectu
1741,"altus,",altus
1742,distans,distans
1743,Lybano,libano
1744,leucam.,leucam
1745,pede,pede
1746,speluncam,speluncam
1747,monumentum,monumentum
1748,26,
1749,longitudinis.,longitudinis
1750,Quod,quod
1751,Sarraceni,sarraceni
1752,devote,deuote
1753,<colunt>,colunt
1754,"frequentant,",frequentant
1755,dicentes,dicentes
1756,Iosue.,iosue
1757,credo,credo
1758,textus,textus
1759,eum,eum
1760,sepultum,sepultum
1761,Tampnachsare,tampnacsare
1762,"Sychem,",sicem
1763,latere,latere
1764,Effraym.,efraim
1765,Ego,ego
1766,pocius,pocius
1767,Chanaan,canaan
1768,filii,filii
1769,Cham,cam
1770,Noe,noe
1771,alicuius,alicuius
1772,"filiorum,",filiorum
1773,habitasse.,habitasse
1774,Probantur,probantur
1775,infra,infra
1776,spelunca,spelunca
1777,finis,finis
1778,Antylibani,antilibani
1779,uterque,uterque
1780,ostendit,ostendit
1781,Arachas,aracas
1782,Aratheus,arateus
1783,filius,filius
1784,diluvium,diluuium
1785,appellavit,appelauit
1786,glossa,glossa
1787,Genesis,genesis
1788,paralipomen,paralipomen
1789,1.,
1790,Gloriosa,gloriosa
1791,pulchra,pulcra
1792,Lybanus,libanus
1793,terminatur.,terminatur
1794,dicetur,dicetur
1795,(7r),
1796,Iordanis,iordanis
1797,exortu,exortu
1798,fecero,fecero
1799,mentionem.De,mentionemde
1800,dimidiam,dimidiam
1801,orientem,orientem
1802,Syn,sin
1803,oppidum,oppidum
1804,Syneus,sineus
1805,frater,frater
1806,Arachei,aracei
1807,procul,procul
1808,Genesis.,genesis
1809,Nestorianus,nestorianus
1810,quidam,quidam
1811,habitans,habitans
1812,requisitus,requisitus
1813,dixit,dixit
1814,appellari,appelari
1815,Synohym,sinohim
1816,idem,idem
1817,Sarracenus.,sarracenus
1818,Ibidem,ibidem
1819,oppido,oppido
1820,planicies,planicies
1821,amena,amena
1822,"Krach,",krac
1823,fuerat,fuerat
1824,"Johannis,",iohannis
1825,Anteradum,anteradum
1826,Tortosa,tortosa
1827,Planicies,planicies
1828,casalia,casalia
1829,nemora,nemora
1830,olivarum,oliuarum
1831,ficuum,ficuum
1832,arborum,arborum
1833,ligna,ligna
1834,multa.,multa
1835,Pretera,pretera
1836,habundat,habundat
1837,pinguibus,pinguibus
1838,modum.,modum
1839,Turcumanni,turcumanni
1840,Madianite,madianite
1841,Bodwinii,bodwinii
1842,habitant,habitant
1843,tabernaculis,tabernaculis
1844,uxoribus,uxoribus
1845,pecoribus,pecoribus
1846,camelis.,camelis
1847,Vidi,uidi
1848,gregem,gregem
1849,maximum,maximum
1850,camelorum,camelorum
1851,erant.,erant
1852,Planitiem,planitiem
1853,circumdant,circumdant
1854,alta,alta
1855,incipiunt,incipiunt
1856,protunduntur,protunduntur
1857,Krach.,krac
1858,"Vanii,",uanii
1859,gens,gens
1860,effera,efera
1861,malitiosa,malitiosa
1862,Christianis,cristianis
1863,infesta.,infesta
1864,Synahym,sinahim
1865,oppidis,oppidis
1866,leuce,leuce
1867,supradictam.,supradictam
1868,Aradum,aradum
1869,Aradium,aradium
1870,insula,insula
1871,firma,firma
1872,distans.,distans
1873,nostris,nostris
1874,bona,bona
1875,Ezechiel,eseciel
1876,27:,
1877,“filii,filii
1878,Aradii,aradii
1879,exercitu,exercitu
1880,tuo,tuo
1881,muros,muros
1882,tuos,tuos
1883,circuitu,circuitu
1884,tuo.”,tuo
1885,Glossa:,glossa
1886,“Aradium,aradium
1887,cincta,cincta
1888,vicina,uicina
1889,Tyro.”,tiro
1890,dietas.,dietas
1891,Condidit,condidit
1892,Aradius,aradius
1893,diluvium.,diluuium
1894,Hic,hic
1895,genuit,genuit
1896,Canaan,canaan
1897,primogenitum,primogenitum
1898,"suum,",suum
1899,Etheum,eteum
1900,Ihebuseum,iebuseum
1901,"Amorreum,",amorreum
1902,Gerseum,gerseum
1903,Eueum,eueum
1904,(7v),
1905,"Aratheum,",arateum
1906,Syneym,sineim
1907,"Aradium,",aradium
1908,Amarithem,amaritem
1909,"Amacheum,",amaceum
1910,hos,hos
1911,disseminati,disseminati
1912,Chananeorum.,cananeorum
1913,Ex,ex
1914,undecim,undecim
1915,"quatuor,",quatuor
1916,"primogenitus,",primogenitus
1917,"Sydonem,",sidonem
1918,"con[didit],",condidit
1919,Synoym,sinoim
1920,Syneum,sineum
1921,"condidit,",condidit
1922,inquam,inquam
1923,manserunt,manserunt
1924,principium,principium
1925,Libani.,libani
1926,Ut,ut
1927,"patet,",patet
1928,reliquos,reliquos
1929,"vii,",
1930,"Etheum,",eteum
1931,"Iebuseum,",iebuseum
1932,"Gerseum,",gerseum
1933,"Eueum,",eueum
1934,"Amatheum,",amateum
1935,reliquit,reliquit
1936,Deus,deus
1937,haberent,haberent
1938,consuetudinem,consuetudinem
1939,preliandi.,preliandi
1940,Pyramides,piramides
1941,istorum,istorum
1942,sepulchra,sepulcra
1943,ostenduntur,ostenduntur
1944,"leucam,",leucam
1945,sumptuosa,sumptuosa
1946,nimis,nimis
1947,stupende,stupende
1948,magnitudinis,magnitudinis
1949,lapides,lapides
1950,eis.,eis
1951,Mensuravi,mensuraui
1952,16,
1953,18,
1954,pedum,pedum
1955,longos,longos
1956,spissos,spissos
1957,latos,latos
1958,staturam,staturam
1959,hominis,hominis
1960,"longi,",longi
1961,"videre,",uidere
1962,miraculosum,miraculosum
1963,erigi,erigi
1964,potuerint,potuerint
1965,edificio,edifitio
1966,collocari.,colocari
1967,A,a
1968,Anteradi,anteradi
1969,inaccessibilia,inaccessibilia
1970,dicunt,dicunt
1971,Assisinorum,assisinorum
1972,ritu,ritu
1973,moribus,moribus
1974,Anterado,anterado
1975,Petrus,petrus
1976,multo,multo
1977,predicavit,predicauit
1978,Antyochiam,antiociam
1979,pergeret,pergeret
1980,rithmario,ritmario
1981,Clementis,clementis
1982,Clemens,clemens
1983,patrem,patrem
1984,matrem,matrem
1985,reperit.,reperit
1986,Ibi,ibi
1987,primam,primam
1988,ecclesiam,ecclesiam
1989,honore,honore
1990,beate,beate
1991,Virginis,uirginis
1992,"construxit,",construxit
1993,permanet.,permanet
1994,celebravi,celebraui
1995,"missam,",missam
1996,nam,nam
1997,steti.,steti
1998,7,
1999,leucis,leucis
2000,Mergad,mergad
2001,fratrum,fratrum
2002,Jo[hannis],iohannis
2003,"Valamiam,",ualamiam
2004,"mari,",mari
2005,altissimo,altissimo
2006,situm.,situm
2007,Valamia,ualamia
2008,insultum,insultum
2009,"translata,",translata
2010,episcopus,episcopus
2011,archiepiscopi,arciepiscopi
2012,Apamiensis,apamiensis
2013,Arachensis.,aracensis
2014,nominis,nominis
2015,preterfuit,preterfuit
2016,principatus,principatus
2017,"Antyochenus,",antiocenus
2018,terminato,terminato
2019,comitatu,comitatu
2020,Tripolitano.,tripolitano
2021,Distat,distat
2022,ci(8r)vitate,ciuitate
2023,"dietas,",dietas
2024,diete,diete
2025,"Antyochiam,",antiociam
2026,processerim,processerim
2027,"contemplando,",contemplando
2028,scribo,scribo
2029,propono,propono
2030,terris,terris
2031,scribere,scribere
2032,aliquid,aliquid
2033,divisione,diuisione
2034,sufficiant.,sufitiant
2035,SECUNDA,secunda
2036,DISTINCTIO,distinctio
2037,LIB.,lib
2038,distinctio,distinctio
2039,procedit,procedit
2040,aquilonem.,aquilonem
2041,"ea,",ea
2042,directe,directe
2043,"aquilonem,",aquilonem
2044,Fortis,fortis
2045,Theutonicorum,teutonicorum
2046,penitus,penitus
2047,destructum.,destructum
2048,eandem,eandem
2049,plagam,plagam
2050,"Thoron,",toron
2051,"valde,",ualde
2052,Tyberiadis,tiberiadis
2053,"edificavit,",edificauit
2054,tenerent,tenerent
2055,"Sarraceni,",sarraceni
2056,leucis.,leucis
2057,Asor,asor
2058,habitavit,habitauit
2059,Iabin,iabin
2060,"potens,",potens
2061,regibus,regibus
2062,pugnavit,pugnauit
2063,Maron.,maron
2064,“solam,solam
2065,munitissimam,munitissimam
2066,vorax,uorax
2067,flamma,flama
2068,consumpsit.”,consumpsit
2069,attestantur,atestantur
2070,presentem,presentem
2071,diem.,diem
2072,Belonas,belonas
2073,Iudicum,iudicum
2074,Lachis,lacis
2075,nemine,nemine
2076,quicquam,quicquam
2077,societatis,societatis
2078,homines,homines
2079,siti,siti
2080,regione,regione
2081,<illa>,ila
2082,Rohab.,rohab
2083,Ceperunt,ceperunt
2084,vocaverunt,uocauerunt
2085,Leson,leson
2086,sui,sui
2087,Dan.,dan
2088,Sepe,sepe
2089,simpliciter,simpliciter
2090,illud:,ilud
2091,“Congregatus,congregatus
2092,universus,uniuersus
2093,Bersabee.”,bersabee
2094,septentrionem,septentrionem
2095,"Sancte,",sancte
2096,Regum:,regum
2097,“Venit,uenit
2098,Iuda”,iuda
2099,“et,et
2100,abiit,abiit
2101,desertum.”,desertum
2102,civitati,ciuitati
2103,"contiguum,",contiguum
2104,Gublin,gublin
2105,appellatur.,appelatur
2106,Philippus,pilippus
2107,tethrarcha,tetrarca
2108,Ythuree,ituree
2109,Traconitidis,traconitidis
2110,regionis,regionis
2111,voluit,uoluit
2112,"nominari,",nominari
2113,Grecis,grecis
2114,Paneas,paneas
2115,Sed,sed
2116,nomina,nomina
2117,cessaverunt,cessauerunt
2118,communiter,comuniter
2119,Bolonas,bolonas
2120,Supra,supra
2121,oriuntur,oriuntur
2122,"fontes,",fontes
2123,Ior,ior
2124,"Dan,",dan
2125,mon(8v)tis,montis
2126,convenientes,conuenientes
2127,unum,unum
2128,Iordanem,iordanem
2129,efficient.,eficient
2130,Nota,nota
2131,verus,uerus
2132,ortus,ortus
2133,Iordanis.,iordanis
2134,Dicit,dicit
2135,Iosephus,iosepus
2136,600,
2137,stadiis,stadiis
2138,Fiala,fiala
2139,plenus,plenus
2140,nunquam,nunquam
2141,effluens,efluens
2142,terraneo,terraneo
2143,meatu,meatu
2144,istum,istum
2145,"effluit,",efluit
2146,paleas,paleas
2147,Fialam,fialam
2148,missas,missas
2149,receptas,receptas
2150,sepius,sepius
2151,probatum.,probatum
2152,fontem,fontem
2153,Medan,medan
2154,vocant,uocant
2155,i[d,id
2156,est],est
2157,dicant,dicant
2158,‘Me’,me
2159,arabice,arabice
2160,unus,unus
2161,duobus,duobus
2162,supradictis.,supradictis
2163,Matheus,mateus
2164,Magedan,magedan
2165,"appellat,",appelat
2166,Marcus,marcus
2167,Dalmanucha.,dalmanuca
2168,longe,longe
2169,Sweka,sweka
2170,"civitate,",ciuitate
2171,pyramidem,piramidem
