,shared_word,version a name,version a count,version b name,version b count
775,dispositum,london,2,zwickau,2
776,ponitur,london,2,zwickau,2
777,copinis,london,2,zwickau,2
778,eficitur,london,2,zwickau,2
779,nobilissimum,london,2,zwickau,2
780,particule,london,2,zwickau,2
781,pira,london,2,zwickau,2
782,nuces,london,2,zwickau,2
783,copia,london,2,zwickau,2
784,diu,london,2,zwickau,3
785,semel,london,2,zwickau,2
786,lemones,london,2,zwickau,1
787,paradisi,london,2,zwickau,3
788,pomum,london,2,zwickau,2
789,foliculus,london,2,zwickau,2
790,album,london,2,zwickau,2
791,aliquam,london,2,zwickau,1
792,arbor,london,2,zwickau,2
793,arescit,london,2,zwickau,2
794,dimitunt,london,2,zwickau,2
795,diuersa,london,2,zwickau,2
796,genera,london,2,zwickau,3
797,porci,london,2,zwickau,1
798,peccatores,london,2,zwickau,2
799,legem,london,2,zwickau,2
