,feature_name,word,zwickau,london,breslau,version with higher score
24236,count_vectorizer_5_gram,ias_d,2,1,0,zwickau
24237,count_vectorizer_5_gram,ith_s,2,0,0,zwickau
24238,count_vectorizer_5_gram,h_sec,2,0,0,zwickau
24239,count_vectorizer_5_gram,io_es,2,2,0,zwickau
24240,count_vectorizer_5_gram,telle,2,2,1,zwickau
24241,count_vectorizer_5_gram,ota_i,2,4,2,london
24242,count_vectorizer_5_gram,non_q,2,1,0,zwickau
24243,count_vectorizer_5_gram,t_moa,2,1,0,zwickau
24244,count_vectorizer_5_gram,eum_q,2,3,2,london
24245,count_vectorizer_5_gram,_eseb,2,2,0,zwickau
24246,count_vectorizer_5_gram,esebo,2,2,0,zwickau
24247,count_vectorizer_5_gram,sebon,2,2,0,zwickau
24248,count_vectorizer_5_gram,n_ite,2,2,0,zwickau
24249,count_vectorizer_5_gram,ns_ga,2,2,1,zwickau
24250,count_vectorizer_5_gram,galla,2,0,0,zwickau
24251,count_vectorizer_5_gram,allad,2,0,0,zwickau
24252,count_vectorizer_5_gram,llad_,2,0,0,zwickau
24253,count_vectorizer_5_gram,ns_sw,2,0,0,zwickau
24254,count_vectorizer_5_gram,s_swa,2,0,0,zwickau
24255,count_vectorizer_5_gram,swani,2,1,0,zwickau
24256,count_vectorizer_5_gram,wanir,2,0,0,zwickau
24257,count_vectorizer_5_gram,anir_,2,8,0,london
24258,count_vectorizer_5_gram,mon_s,2,3,2,london
24259,count_vectorizer_5_gram,ee_us,2,5,0,london
24260,count_vectorizer_5_gram,m_ema,2,0,0,zwickau
24261,count_vectorizer_5_gram,dit_l,2,1,0,zwickau
24262,count_vectorizer_5_gram,t_lyb,2,4,0,london
24263,count_vectorizer_5_gram,nua_m,2,1,0,zwickau
24264,count_vectorizer_5_gram,si_mo,2,0,0,zwickau
24265,count_vectorizer_5_gram,sis_l,2,3,0,london
24266,count_vectorizer_5_gram,cut_p,2,5,1,london
24267,count_vectorizer_5_gram,palam,2,2,2,zwickau
24268,count_vectorizer_5_gram,mbard,2,3,0,london
24269,count_vectorizer_5_gram,et_th,2,1,0,zwickau
24270,count_vectorizer_5_gram,rigin,2,1,1,zwickau
24271,count_vectorizer_5_gram,iam>_,2,0,0,zwickau
24272,count_vectorizer_5_gram,ns_ta,2,2,1,zwickau
24273,count_vectorizer_5_gram,se_un,2,3,0,london
24274,count_vectorizer_5_gram,edo_d,2,0,2,zwickau
24275,count_vectorizer_5_gram,ud_ie,2,2,0,zwickau
24276,count_vectorizer_5_gram,d_ier,2,3,0,london
24277,count_vectorizer_5_gram,ihi_c,2,2,2,zwickau
24278,count_vectorizer_5_gram,pud_l,2,0,0,zwickau
24279,count_vectorizer_5_gram,i_aut,2,4,0,london
24280,count_vectorizer_5_gram,t_cec,2,1,0,zwickau
24281,count_vectorizer_5_gram,xta_d,2,4,0,london
24282,count_vectorizer_5_gram,ach_u,2,1,1,zwickau
24283,count_vectorizer_5_gram,ch_ub,2,1,1,zwickau
24284,count_vectorizer_5_gram,_iung,2,2,0,zwickau
24285,count_vectorizer_5_gram,e_aut,2,3,0,london
24286,count_vectorizer_5_gram,s_meo,2,2,0,zwickau
24287,count_vectorizer_5_gram,sit_u,2,4,6,breslau
24288,count_vectorizer_5_gram,i_lyb,2,1,0,zwickau
24289,count_vectorizer_5_gram,r_dis,2,3,1,london
24290,count_vectorizer_5_gram,er_11,2,0,0,zwickau
24291,count_vectorizer_5_gram,r_11_,2,0,0,zwickau
24292,count_vectorizer_5_gram,_11_l,2,0,0,zwickau
24293,count_vectorizer_5_gram,11_le,2,0,0,zwickau
24294,count_vectorizer_5_gram,ro_pl,2,1,0,zwickau
24295,count_vectorizer_5_gram,o_pla,2,2,1,zwickau
24296,count_vectorizer_5_gram,ego_i,2,3,0,london
24297,count_vectorizer_5_gram,go_in,2,3,0,london
24298,count_vectorizer_5_gram,te_ib,2,2,1,zwickau
24299,count_vectorizer_5_gram,ine_5,2,1,0,zwickau
24300,count_vectorizer_5_gram,ne_5_,2,1,0,zwickau
24301,count_vectorizer_5_gram,_niui,2,3,1,london
24302,count_vectorizer_5_gram,niuib,2,1,1,zwickau
24303,count_vectorizer_5_gram,iuibu,2,1,1,zwickau
24304,count_vectorizer_5_gram,_coop,2,3,0,london
24305,count_vectorizer_5_gram,coope,2,3,0,london
24306,count_vectorizer_5_gram,ooper,2,3,0,london
