,importance,feature
1126,0.0,_ei_s
1127,0.0,_eia
1128,0.0,_eia_
1129,0.0,_eic
1130,0.0,_eici
1131,0.0,_eid
1132,0.0,_eide
1133,0.0,_eie
1134,0.0,_eiec
1135,0.00016304854256102207,_eis
1136,0.0,_eis_
1137,0.0,_eisd
1138,8.044034149951269e-05,_eiu
1139,0.00010276765453815987,_eius
1140,0.00012011607134918155,_el
1141,0.0,_ele
1142,2.986984676355333e-05,_elec
1143,0.0,_eleg
1144,0.0,_elep
1145,0.0,_eleu
1146,0.0,_eli
1147,0.0,_elig
1148,0.0,_elio
1149,0.0,_elis
1150,0.0,_em
1151,0.0,_ema
1152,0.0,_emau
1153,0.0,_eme
1154,0.0,_emer
1155,0.0,_emi
1156,0.0,_emin
1157,0.0,_emu
1158,0.0,_emun
1159,0.0,_en
1160,0.0,_ena
1161,0.0,_enar
1162,0.0,_end
1163,0.0,_endo
1164,0.0,_ene
1165,0.0,_enea
1166,0.0,_eneu
1167,3.347482669170416e-05,_eng
1168,0.0,_enga
1169,0.0,_eni
1170,6.488006755150548e-05,_enim
1171,3.406222777906208e-05,_eo
1172,0.0,_eo_
1173,0.0,_eo_a
1174,0.0,_eo_b
1175,0.0,_eo_c
1176,0.0,_eo_e
1177,0.0,_eo_m
1178,0.0,_eo_p
1179,0.00010228754322456791,_eo_q
1180,0.0,_eo_r
1181,0.0,_eo_s
1182,0.0,_eo_t
1183,0.0,_eo_u
1184,0.0,_eod
1185,0.0,_eode
1186,0.0,_eor
1187,0.0,_eoru
1188,0.0,_eos
1189,0.0,_eos_
1190,0.0,_ep
1191,0.0,_epe
1192,0.0,_epeb
1193,0.0,_epi
